Name,Salary1718,N1718,Salary1819,N1819,Salary1920,N1920,Salary2021,N2021
BIZREACH,-1,-1,63,0,32,1,-1,-1
MICROSOFT,-1,-1,-1,-1,43.33,1,-1,-1
PHONEPE,-1,-1,-1,-1,38,3,30.5,1
RAKUTEN,27,4,33.39,1,37.18,2,36.14,0
YAHOO,-1,-1,-1,-1,34.82,1,-1,-1
CROWDWORKS,-1,-1,-1,-1,34,0,-1,-1
CODENATION,-1,-1,31,0,-1,-1,31,0
MEDIA.NET,-1,-1,-1,-1,29.96,0,4.2,0
METRO.COMPUTERS,23.92,1,-1,-1,-1,-1,-1,-1
GOLDMAN.SACHS,-1,-1,-1,-1,23,5,23,3
AVALARA,-1,-1,4.5,4,-1,-1,22,0
VALUENCE.HOLDINGS,-1,-1,-1,-1,-1,-1,21.22,2
FINIQ,7,7,7,14,11.5,2,20,1
GROWW,-1,-1,-1,-1,20,2,-1,-1
DEUTSCHE.BANK,12,7,14.3,10,14.3,12,19.63,13
MORGAN.STANLEY,16.17,4,-1,-1,-1,-1,-1,-1
ARISTA.NETWORKS,-1,-1,-1,-1,-1,-1,15.5,2
IDFC.FIRST.BANK,-1,-1,-1,-1,-1,-1,15,1
COMPASS,-1,-1,-1,-1,15,1,-1,-1
CODEVITA.LIVE,-1,-1,-1,-1,-1,-1,14.4,1
COHESITY,-1,-1,14,0,-1,-1,-1,-1
KYLAS,-1,-1,-1,-1,-1,-1,13.11,4
MINDTICKLE,-1,-1,-1,-1,-1,-1,13,0
EPIKINDIFI,-1,-1,-1,-1,-1,-1,12.75,0
CROWDSTRIKE,-1,-1,-1,-1,-1,-1,12.65,1
AVAYA,12,5,12,5,12,3,12.07,5
JARO.EDUCATION,-1,-1,12.02,0,12.02,0,6.6,0
WISSEN.TECHNOLOGY,-1,-1,12,2,12,1,-1,-1
TOSHIBA,12,3,-1,-1,-1,-1,-1,-1
HSBC,7,5,12,7,7,37,7,33
ESPRESSIF,-1,-1,-1,-1,10,1,12,3
RTCAMP,-1,-1,6,0,-1,-1,12,0
ION,12,5,12,5,12,2,12,5
TURTLEMINT,-1,-1,-1,-1,12,0,-1,-1
SYMBL.AI,-1,-1,-1,-1,-1,-1,12,1
UOLO.COM,-1,-1,-1,-1,-1,-1,12,0
CAKESOFT.TECHNOLOGIES,-1,-1,-1,-1,-1,-1,12,9
ACCOLITE,10,2,12,1,-1,-1,-1,-1
