Microsoft,1,43.33
PhonePe,3,38
Rakuten,2,37.18
Yahoo,1,34.82
Crowdworks,0,34
Bizreach,1,32
Media.net,0,29.96
Goldman Sachs,5,23
Groww,2,20
Compass,1,15
Deutsche Bank,12,14.3
Jaro Education,0,12.02
Avaya,3,12
Druva,5,12
ION,2,12
Turtlemint,0,12
Wissen Technology,1,12
FinIQ,2,11.5
Ittiam,1,10.9
Credit Suisse,0,10.81
Veritas,3,10.75
Amura,1,10.5
Espressif,1,10
HDFC Bank,7,9.5
Quantiphi,1,9.5
Pubmatic,3,9.42
IDeaS A Sas,3,9
RackWare Technologies,2,9
RBL Bank,5,9
Siemens,10,9
ZS Associates,19,8.9
Schlumberger,1,8.8
Aspect Ratio,2,8.5
CLSA,0,8.5
eQ Technologic,10,8.5
Imagination Technologies,0,8.5
Sapient,6,8.5
UBS,8,8.5
udChalo,3,8.5
Persistent,1,8.41
Interactive Brokers,1,8.18
ACI Worldwide,17,8
Acquia,3,8
Barclays,15,8
Energy Exempler,4,8
Flextrade,1,8
Icertis,7,8
SE2,13,8
STL,3,8
Tracelink,4,8
Sincro (CDK Global),3,7.75
Logicmonitor,1,7.7
Ryussi Technologies,1,7.5
Finastra,20,7.26
Financial sofware systems,0,7
HSBC,37,7
miniOrange,4,7
Mobikasa,0,7
Musigma,7,7
NICE,8,7
TCS Digital,5,7
Ubisoft,0,7
Deqode,3,6.95
Capgemini,4,6.8
Deeptek,1,6.5
ElasticRun,6,6.5
Fiat India Automobile,2,6.5
L&T Infotech,12,6.5
Shoreline,0,6.5
Winjit Technologies,1,6.22
AlefEdge,1,6
Mediaocean,7,6
Numerator,2,6
Reflexis,3,6
RIA Advisory,13,6
Valuefy,0,6
LiveHealth,2,5.83
evosys,2,5.5
Honeywell,6,5.5
Fiserv,22,5.2
Altimetrik,6,5
Amdocs,13,5
Cloudwerx,0,5
Infogen Lab,2,5
Raja Software,3,5
Redpanda,2,5
Relfor Lab,0,5
Sagitec,3,5
Yardi,10,5
Lentra AI,4,4.8
Crane process flow,2,4.6
DemandMatrix,0,4.5
Endurance International,2,4.5
Lifeline Systech,3,4.5
Xorient,0,4.5
Xpanxion,2,4.5
Persistent,3,4.41
Eternus Solutions,2,4.25
Vodafone,12,4.25
IBM,3,4.1
Cognizant,3,4
e-Zest,2,4
Paragyte,0,4
Capgemini,17,3.8
eInfochip,3,3.6
Flo Group,1,3.5
Reposenergy,0,3.5
TCS Ninja,2,3.5
BirlaSoft,2,3.25
Blue Flame Labs,3,3
